,Customer_name,Highlight,Ratings,Description
116,Anuj Sharma,"Alexa, do I need you?",3.0,"I truly don’t see the point behind Alexa or any smart speaker for that matter.I finally bought it coz it was on offer during sale and I just wanted to see what the fuss was about and I was right, there’s nothing great about a smart speaker.There’s nothing much you can do with it and the charm & novelty wears off quite soon. More of a gimmick than an actually useful gadget.Don’t get me wrong, the product is good but I really don’t see its utility. Buy with your own wisdom & utility."
117,Pratiksha,Wonderful,5.0,It was a great deal at that price.. the smart bulb and echo dot pair perfectly and works fine and all other smart devices are easily recognised by Alexa app and there was no hassle in connecting devices and using echo dot. The combo is great.
118,chaitanya,Using it since 2 plus years. Simple and awesome,5.0,"The media could not be loaded.
                



 I have been using it since years.Perfect home smart speaker. Sounds crisp and listens carefullyPair a couple of them and get the awesome stereo effect as well .Can be a smart speaker in kitchen , working desk stereo , bed side night audio device. You name it it delivers.Loved this product through out the usage"
119,Pompi,Read this while you decide,5.0,"The room has converted into a smart home. But it is a costly affair. First of all you need a wifi connection then you need all smart acessories or appliances to pair with Alexa such as Smart Plug, Smart Bulb, IR Blaster(require in case of non-smart appliance like AC). Overall it gives an esteem feeling. The echo dot 3 is good. But I expected a beter sound from the device."
120,Aninda Majumder,Modern living essential,4.0,"Excellent product to have for a modern living.Only problem is that it is hooked to Bollywood for some reason I am unable to figure out. Most of the song it plays are from Bollywood even if I ask to play something else but not specific.Barring this, it is an excellent product."
121,Abhishek,Buy it without second thought.,5.0,"This is one of the best speakers you will get own. The response is improving everyday and the skills are polished continuously. Don't go by the reviews of negetive people as they have a bad accent and then blame it on the speaker, however Hindi is also supported now.Just buy it when you get a deal as I got a free bulb with it.You have to spend a little if you want to be at par with the technology. Since Jio Savan is fully supported you therefore need not get the prime membership in case that is what you are afraid of."
122,Amaljith,Not upto the mark,3.0,"While comparing with google assistant, the AI is far better in google assistant and the command pickup capabilities and other execution patterns are good in google assistant. But the voice bass and loudness is good in alexa. The lighting illumination and looks are impressive in alexa. But job wise Google assistant nailed the industry withe google's own AI features."
123,Das,Good Product,4.0,"Database need to update, sometimes gives wrong answers, sometimes unable to understand the question and start giving different subjects description. I would like to suggest Amazon to update the Database urgently. one more thing the microfone is getting weaker than when i purchased."
124,Chandru,Awesome product,5.0,"My son has been asking for a long time. However we weren't buying. This time, we decided to buy. It's an awesome product. we are astonished by its voice recognition capabilty. It's picks up right songs with minimal inputs.We have integrated it with fire stick also.No regrets...I recommend a buy ...Happy Alexaing :)"
125,Gaurav Kumar,WRONG INFORMATION about Echo Dot,1.0,"I ordered this product because it shows in web description as ""Echo Dot (3rd Gen)"".But when I connected to it with my alexa app, it shows Echo Dot ""2nd Gen"" instead of ""3rd Gen"".I am feeling like cheated."
126,Krunal Wankhede,"Great smart home accessory, deliveres what it promises",5.0,"A great device to have, makes your life easier, combined with other smart devices it makes your home a smart home,Coming to the product,Build quality is very good, looks great, anti slip base keeps it in place, sound is also crisp clear, sufficient base and enough volume,Connectivity is also good,Cons:- needs constant power supply, would have been better if it had battery backupSuggestion to amazon:If it could be used as bluetooth speaker"
127,RAGHU,Cheated and worst pick up service,2.0,"I got a faulty product. The lights were on for 5 mins..then all went off..there was no orange light...totally dissatisfied in 30 mins....Return Status: I applied for return on the same day that the product was delivered. The next day, i got a sms stating pick time was scheduled between 7 am to 7 pm which was ridiculous. Would the Amazon pickup service want someone to be in home for the whole day, just for receiving the pick up guy? I waited till 3pm and left for other imp service. Had an sms sent at the morning hrs about the approx pickup time, it would have been more meaningful. Totally, cheating and lethargic."
128,Rohit Verma,Good as a novelty for kids,1.0,"Horrible music sound. Only good for speeches or weather reports, not for music. Bluetooth connectivity is a pain if you have multiple devices. Stationary use only (no battery). If you go and plug in another room, for example from living room to bedroom you have to start connectivity again from scratch. Alexa software is ages behind Google voice. I am returning this product. Good for a novelty, although you can get better items to show off for that price. Could not even recognize Gurgaon. Don’t be fooled by 3rd generation... just some more fancy lights. If the price drops after you buy it and take it somewhere else. You are basically left with price difference hanging around your neck! Rip off. Great for kids though!"
129,Ankit,Very disappoint,1.0,"Not happy,It's work with limited 2or 3 app.It's not work with you tube and other search engine.Many songs are doesn't understand it.Overall not good experience"
130,John,Brilliant Product,5.0,"I got this one during the Prime day sale. I have used this for a month now and below is my review.Pros:1. Excellent Speaker - both as a standalone speaker and smart device (at the price point i got on Prime day)2. Alexa - Has almost no trouble in recognizing voice and very rarely does it falter, plus integration with Amazon ecosystem - You can place order, track deliveries and also receive news updates all via Eco dot.3.  Bluetooth - Can even use this as a blue-tooth speaker for iPad / Phone . Does a great job (needs power source though)Cons:1. Portability : A removable USB cable on adapter would have enabled much wider usage (battery bank power?)2. One command at a time - It cannot execute 2 or 3 commands in one go - Like switch on the light, & play music will need you to say ""Alexa"" 2 times.  Can be a bit abrupt at times - in starting and stopping music etc.Verdict : Brilliant smart speaker for home use at a great price point."
131,Mahesh,"Very good product, worth buying",5.0,"First thing i am very happy with amazon deliverythe product is at my hand before 24hrs after I ordered even I am not prime member, it was very good and super fast delivery compare than any othersHere my review after using it 1 weekEcho dot (alexa)  the product is in good condition,features are very smart, you can play variety of any music which are in your mind, alexa can tell you whether info, news, reminder, alarm on single statement spoken by you, feel smartness while talking to alexa, My 3 yr son also like it while speaking with Alexa... he ask to play songs which he likes most... overall i am very happy with this product"
132,Bala Subrahmanyam,"It just a ""Ribo-for-Music"" "" Jai Patalabhairavi",5.0,"Very useful one, Luckily no Ads disturbs the Stotralu,Mantralu,Songs so can enjoy uninterruptedly. Audio Quality need to Improve, of course, in  Hugh volume it may OK, but we may not enjoy "" the High Volume Fir the sack of quality. More functions surprises us. Thank to the invented team."
133,kawaljit kaur,Disappointed,1.0,"I m sorry to say that I was disappointed with this product. I know alexa is v popular with ppl who want to listen to songs. I wanted to listen to kirtan only but cudnt listen. It always played something different. Moreover, it was not linked to YouTube. Had no option but to return the same..."
134,Siddhartha,"Great speaker, average voice assitant",4.0,"Common guys you need to fix the amazon music search results, I search for a song and it gives me a different results and I cant find the original song until I specifically mention the singer. Its very annoying when YouTube music works flawless, sadly there is no inter-compatibility with each other.Also why cant I change the voice, it sounds so robotic, make a better alternative, its one thing that's keeping me away from making it my default voice assistant.Everything else is just great. Sound has much more depth. Google home mini is tuned for better vocal response while echo is for music"
135,Vidyadhar Misal,Few improvements needed,3.0,"They need to provide battery backup so that we can carry it anywhere.It needs to play songs randomly also like YouTube, instead of asking it to play. It might have this feature and I may be unaware so second comment can be ignored if it has it.I returned it as I wanted to play songs in my bathroom where there is no electric connection."
136,Muhsin,It's totally worth it.,5.0,"I bought it for 3500 for 2 echo dots and 1 bulb. For this price its totally worth it. I really enjoyed using it and my sis has a toddler who is easily pacified using alexa light controls and songs (we have bought costlier toys but it's alexa who mostly saves the day). So for my home, It already did more than I paid for.😌😌😌"
137,Sorrow,Get google,1.0,"The setup process is so tedious and when i tried to change network it just doesn't work. This isnt setup its like open setup and you might have a chance to set up the device successfully! Hurry! It really is so bad i am connected to amazon wcp network for hours Nothing happens, alexa just goes out of setup mode thats it. I cant do sheet. Tooooo bad and tiring and waste of time."
138,Devanshu Srivastava,All you need to know about Amazon Echo Dot,5.0,"Superb purchase made during the Great Indian Festival Sale by Amazon. I feel so good that I made a right decision of buying this wonderful product by Amazon. It's a small speaker but the sound is enough for a medium to large sized room. It connects with my home Wifi seamlessly.This smart speaker supports voice recognition and it can recognise my voice which is truly amazing.Sound quality is very good and it has a nice clear sound which is loud enough.Alexa integration is the main feature of this product, which is why it's a must-buy for every smarthome.The speaker connects to all my smart devices, namely, Amazon Fire Stick, Wipro Smart Bulb, Wipro Smart Batten, and Wipro Smarthome. It makes my life so easy!Alexa has a lot many supported apps and the number is increasing everyday. You get a lot of interesting apps to use with Alexa. For example, you can order Uber cabs, ask time, play a game, listen to music and what not. This speaker truly leverages the power of Amazon Alexa."
139,shashank,Totally Amazed,5.0,"This is just awesome.There are so many things we can do with this device and that made me wonder that why this is so cheap.I got a smart bulb with the device in just 2500 rs.Now I control my bluetooth speaker, my tv(firestick) and my bedroom light with my voice commands.This is fun for my 4 years old kid too and Alexa tell stories to him.The voice recognition is very good and the proof is that even my kid's commands Alexa recognise."
140,anilkumar,Worst software and dont blame cusomers,1.0,"Voice is not recognising what ever we say something like play songs from ABC movies or storieseven we restart device multiple times, could you please help on thisVoice is not recognise and Even I changed default music to amazon music app when I ask Alexa play music from amazon music it's not recognizing tried multiple times its not working can help meWorst software desinged sont blame customers just providing like switch off lightsand ola bokking..etc because whatever we spoken alexa is not listen even it contains builtin jio songs. Lets say examples alexa play  palasa 1978 movie telugu songs..but default its going default liat songs are playing from jio saavan insyead of what i given command... And even we created playlist from differeny music apps(jio saavan,spotify) but its not recognizing. with Ads you are providing whoever developed does they using this? They know the faults...rigorously test software...Please improve this more and more feature"
141,Keshab Paswan,Vary good 😃 but volume not loud,4.0,Vary good 😃 but volume not loud.Sound quality is very good  but  volume level is not good.The word had to be more.খুব ভালো 😃 কিন্তু ভলিউম জোরে নয়।সাউন্ড কোয়ালিটি খুব ভালো কিন্তু ভলিউম লেভেল ভালো না।শব্দটা বেশি হতেই হতো।भिन्न अच्छा लेकिन आवाज़ ज़ोर से नहीं।साउंड क्वालिटी बहुत अच्छी है लेकिन वॉल्यूम लेवल अच्छा नहीं है।शब्द अधिक होना चाहिए था।
142,Parul jain,Better than Google home mini at cost of Rs. 3000,5.0,"Best home usable device for entertainment.. If you are thinking to buy it or not, then I'm sure that you will get thrill and enjoy after buying it. I was also thinking same but then I bought it for Rs.3000 during discount period. So, wait and buy it when it goes to price of Rs.3000 or below.Currently, it is Rs. 3500 but wait and I""'m sure that it will go down to Rs.3000 within a 1 or 1.5 month. Just wait and check regularly the price of this product (check daily atleast once).If you thinking to buy google home mini, then don't buy at all, I've experienced both. Echo dot is thousand times better that it. Google home mini don't recogine your voice well and can't perform e-commercial and play games activities."
143,Bibz,"Alexa, Sing a song😌🌝",5.0,"I was thinking of buying this echo dot for a very long tym! & one day i got a 1000 rs cashback in my amazon pay balance (reason is still i dont know)😹So i brought this echo dot for a net amt of 1499/- & it was a super cool offerConnectivity was suprr quick & i connected all my bedroom appliances with alexaRoutines setup was super fun ⚡️⚡️she plays my fav soundtracks , she sings for me , say hi to my friends , sets alarm for me , and there is a lot lot things that she doesPacking was super  & delvry boy was very coolI am enjoying alexa's company very well & thankyou amazon for d product"
144,mnvs,Its a great choice if its not a plug n play device.,4.0,"Everything looks good.sound quality and responsiveness to commands are perfect.Only negative is its a plug n play device ,in that price they should have provided battery in it and then we can carry everywhere we want with us and use it as a absolute bluetooth smart device.thats why im giving 4 star rating.whenver power is off or the supply stopped by turning the switch off by someone, u need to setup again for alexa dot to work, its such a hectic and irritating process and once it setup you cant move this device to someother place without turning the power supply off and need to reconnect the device."
145,Indian,"Great product, but still quite dumb",4.0,"Amazon echo dot is a great product in terms of its sound quality and overall entertainment value. But for practical use it is still quite dumb. For Indians we definitely need to set English and Hindi together. Also many common things it does in a dumbest way. Many Indian songs it doesn't understand correctly. Variations in news, scores, horoscopes, weather are just missing.Long way to go for this technology. In many ways google assistant is better. I hope that same device should allow marriage of all the technologies in this field."
146,Vishnuvardhannaidu,Most advanced tech i purchased till date very happy,5.0,"The media could not be loaded.
                



 Best sound clarityVery responsive Alexa using with smart plug and bulbPlug Wipro 16a connected to ac.All reminders and alarm using thisBest in one word."
147,Himadri Manna,Alexa Echo Dot Now Supports HINDI . Go Through The Full Review To Know How 😍,5.0,"The media could not be loaded.
                



 Thanks to Amazon for this amazing product at an amazing Price in this Great Indian Festival: I was lucky to get this Echo Dot bundled with Wipro smart bulb @1999 !Now the important thing : How to be able to use it in Hindi . First go and check the software version of ur echo dot from ur Alexa App in the smartphone ( go to the 'Device' menu at the down right corner in the app).  I have uploaded the pic of the updated software version till today 07.10.2019. Just command echo dot "" check for software updates"" . Echo dot will start updating ur software for a little time.Wait until a blue ring appears in ur echo dot. Don't prompt anything to the echo device during the update.After the update u can set the device language to Hindi (India) in ur device settings.I have uploaded a small video to show that it is really working smoothly.Hope this review will be helpful to people who wants to use it in Hindi like me."
148,Suman Kolay,This is for Seller - cloudtrail!!,4.0,"I order this product and the seller was Cloutrail, when I opened the sealed box from amazon it was ok, however the echo dot product box was double sealed.1.The actual horizontal seal was opened before and then the seller had sealed it with normal cello-tape as mentioned in the pic above.2.The manuals inside was not place properly inside the box, as I am 100 per sure this has been opened and used by seller.3. The charging cable of the adapter was in tangled state, and the binding rubber of the wire was not even inside the box.3. The plastic seal was not present in the device. (on the top of interface)4. Even while setting up, I had to reset it to complete the installationWhy did you sent a refurbished product when I ordered for a new one??I will make sure Amazon pays for this!!"
149,Abhishek Jain,Poor Sound Recognition,2.0,"Not sure if it is my device or a general issue but the speech recognition is not up to the mark. The device doesnt respond to my device's ""Wake up"" text and I need to shout at the top of my voice to make it react. Not cool."
150,Binosh,Now it is working!!,5.0,"Purchased Echo Dot (3ed Gen).connected ... but Alexa didn't respond very well. No songs, ( i have no prime membership). some times shows a rotating blue light. not answer any questions. the package was opened while dispatched.Alexa application also not responding in the mobile.something went wrong.. I sign in my account in Amazon and delete all devices. uninstall app from phone. reinstall all.. nothing help to overcome the issue.Now it is resting in the table, I am also resting.. , tired ...Then some one call from AmazonHe said the wifi was the culprit.. ( I am also noticed it )I reset the wifi account from ISP ( call and ask to reset my account)But there is no Gaana, Hungama etc in my music list ( only Amazon Music, Apple Music & TuneIn )after a while search in the net and by the help of the Amazon caller.. I reached the Gaana, and hungama, Savan ""Enable"" button in the web page. ( in my computer )Now i can play all the music.That is it.."
151,MAYUR MADAN JAMGAONKAR,Dumbest device I have ever seen in my life ..,1.0,"I have never seen such a dumb device in my life. I remember the small piano or such devices our parents used to give us when we were 6 years old. Whatever you ask it has only few stereotype answers. Playing a desired song is the most irritating part. It never knows what you want to play, instead it plays some fixed song list no matter what you asked her play. Also it also doesn't have songs with filters such as genere, mood etc. My opinion ? DONT WASTE YOUR MONEY.. your mobile is far useful to do things you expect Alexa can ..."
152,shorya srivastava,Very good device for 1st experience as a home device,5.0,Recieved the product in less then 24 hours from amazon with price of 2399 rs. I can say that it's better then gen-4. I have setup the device in my hall. And the sound it produces is immersive. Alexa integration is superb as well as voice recognition. Setup process is very simple. I also got amazon power plug and havels wifi bulb. I paired all three device in 2 minutes. And then it is ready to go. I can say that one should give it a try to have the experience of technology. Completely satisfied 🙂
153,Vishal Shekar,Can't answer simple questions that Google can....,3.0,"The reason for 3 start review is, it can't answer simple questions that Google can answer. When there's music playing, I need to shout loud to tell it to pause. Sound Quality is decent but the microphone seems bad. Was happy with home automation commands....But felt absolutely disappointed with the answers."
154,KRISHNA,Pros and cons,3.0,Pros1. It explains Vocabulary2. for English and Hindi Songs ( that only specific to jio saavan or amazon music ) Cons1. It cannot recognize voice with low volume from a distance more than a 1.5 m2. It cannot Understand and Play many Telugu songs. It only suggests songs which are available on the music app which you have kept default or amazon music.3.Bluetooth connection with the device very difficult to set up if you have not used it for a while4. Changing a Wifi Network takes a lot of time. Every time u need to enter set up mode ( Orange Color light with pressing dot button ). It is better if we can directly change from app.
155,Sunil K.,Non Sense Alexa Product,1.0,"Interaction with Alexa quaility is very W roust...Alexa software is very bad..No Use ..compared to Google Voice.Compared to Phone Google Voice is better response and good result.Alexa not matured, No knowledge upgraded compared to google voice.Alexa Device is No Use compared to google voice in Phone.Mico is not good quality.Different answers for simple questions from Alexa.Alexa replay is not good.This device not good for playing for few days.. Fully boring with alexa replay.Waste of Money.We have to wait for New latest generation software for alexa until its waste of product."
156,Ashutosh T,Quality product with a variety of uses,5.0,Echo Dot 3rd gen is an absolutely amazing device. It works as expected and has great amount of features. Th sound signature is good and Alexa works 100pc of the time. Although there is room for improvement in voice recognition when there is too much noise in the room or fan is running and search results of Alexa also needs some improvements. Overall a great product at good price
157,Abhijit Rajak,My first Smart Speaker,5.0,Overall I think this was super value for money. I haven't used any other smart speaker before but I am very happy with my purchase. Below are some observations :1. Initially it feels a bit weird talking to a speaker but you get used to it in no time.2. The sound quality is pretty good. You get good depth of sound with decent bass.3. Several skills available and you will definitely find some very useful. For example adding stuff to shopping list or setting up a reminder.4. Understands the Indian accent very well. Sometimes I am amazed by how well it picks up stuff.6. Kids love it. An added advantage is that they can take help for homework and talking to alexa also motivates them to talk in English.7. Now Amit ji voice on alexa but Alexa sweet enough to entertain you.
158,Harshith kamble,BEST for SMART Homes.,5.0,"You can buy it with no hesitation. But my suggestion is the people who are looking to or having a SMART HOME like everything in your house is automated with Voice command it's good for you. And for the normal houses it's just act like a Bluetooth Speaker that's it somewhere around in a corner laying in your house. If you want to BUY it first convert your house like smart bulbs, tubelights, android TV, remote enabled fans, Ac's. Normal houses just a speaker that you can talk when bored for entertainment."
159,shubham bhardwaj,Sound quality good,3.0,"Eco dot 3rd gen . Some time not recognise conamds and skills.. company claim fully smart speaker. But when you use eco dot 3rd gen you realise .. is this not a fully smart speaker.. hardware is good but software is not up to the mark .. need more updates.. link with maps ... Some time then i ask ""where is Mathura"" answere correct...but when i say ""how i go Mathura"" no route find by alexa eco dot 3rd gen.... More updates needed....may be...😊"
160,suhail farmaan,MUST HAVE PRODUCT,5.0,"The media could not be loaded.
                



 Never realised that Alexa was this amazing until I purchased one.If you have a proper WiFi connection at homeIf you have smart devices and controllable electronics Alexa is a must have device for you. Go for it. Over a month of experiencing the hands free way of performing multiple tasks Alexa has been an incredible device and software for my everyday use. The speakers are really great for the price we pay. Go for it.I have purchased 3 unites and over all this is worth it"
161,Amazon Customer,Absolutely worthed!!,4.0,Sound - The clarity is fantastic. It does provide a surround sound feel. The bass is great until volume 7 after which it starts jarring. Please don't expect it to fulfill a theatre or disc like experience!Voice recognition - pretty much spot on everytime!!Only drawback is no bluetooth option for aux capabilities!!
162,Nethaji ganesan,MOST DISAPPOINTING SUPPORT FROM CUSTOMER CARE,1.0,"i purchased the alexe echo dot device for my grand daughter 3 days bach. i was unable to set up the device .i and my son struggled for several hours for 2 days. then we called customer support. while they talk very sweetly they do not keep their promises . no mail is received . no return phone call as promised. we have to continousy follow up leavng all our other work. after paying 4000rupees this is a big punishment. the device cannot connect to the wi-fi. the customr support came to the conclusion that the device is DEFECTIVE , and will be replaced . i do not know when . i am keeping folded hands praying. THIS IS THE FATE OF ON LINE SHOPPING WITH AMAZON"
163,Avishek,Small yet powerful and helpful.,5.0,"I would like to take some time while explaining my experiences with Alexa.Initially, I was very skeptiCal about these devices, and I was manuovered by the feelings that these devices are just a marketing propaganda and there is no practical use of it. Adding to the woes is the electronic items from Amazon which is not a specialist in such items also magnified my negative images for such devices.My eleder brother ordered this device for his use and the lockdown offered me some time to spend with my family including Alexa device.  I am writing the review after regular two week use of the devices and my feedback is followingPros-Timely delivery by Amazon.Great packing.Easy to setup the device.Amazing sound quality, I was amazed to see that a pocket fitting devices can produce such loud and clear output.Very prompt reply from the device upon any request.Multi language support.Works very fluently with the mobile hotspot.Smart home integration is awesome.ConsAlexa gets upset sometimes as housewife's do. You just need to set it again.Final verdict- just go for it. It's a super device."
164,Sreenath D.R,Go for it,4.0,"Sound quality is good but not the best (you cannot expect more according to the price range)Sound quality : 7.5/10Responsive : 8/10, could have been better but it does the jobMusic : very less features when it comes to music many little things that's possible through phone is not available.Overall : 6/10.You can go for it, its not a necessity as most of the things is achievable through smartphone easily than this."
165,Amit,Good product,4.0,"I had Google donut but it failed miserably, Echo dot is much better ...however it doesnt recognize some questions. But nevertheless good device. But the smart bulb I got with it is very very tough to adjust with it through app, still havent been able to do it as the bulb instructions arent veryclear"
166,Mukul,Overrated product,3.0,"Overall product is ok. But I'm not happy with the price and Alexa integration. She can recognize your voice from approx 10m of a distance. However, the recommendations/ suggestions provided by Alexa is not satisfactory. I mostly listen to music and the choices she makes are inexact. I mean idk how she come up with lame songs. For example, i have asked for Hollywood songs, she sometimes starts playing bhojpuri songs 😕😕, additionally i have asked her to repeat what i have asked and she replies the correct sentence, and that's more strange.Anyways, price comparing to product, price is too high i bought it for 2500 and i would be happy to buy it for approx 1500. But, more than 2000 is unacceptable for Alexa.Trust me, I regret buying this product. Also, it's not even wireless 🙄🙄🙄. It's app is too heavy which makes it too slow and so on.If you earn Luke crazy money, go for it... It's good for show off. However, if you are that person who thinks before buying, DON'T. BUY. IT. Pls, save your money for better things."
167,manish punia,Stop bluetooth announcement,3.0,"The most frustrating feature of Alexa is the annoying announcement while connecting to Bluetooth. it does every time when it connects with the device and there is no way to disable it. People have been crying for years, while Amazon is not listening.Other than that it is much better in comparison to google home mini. In comparison voice quality and search too."
168,Puru,"Distorted bass/sound. Defected product received in Imphal,Manipur.",1.0,"This is my second purchase, the first one was bought in Noida. It was great. But this one, I got it delivered in Imphal, Manipur. The bass of the speaker is distorted, the sound is distorted. It is nowhere as good as the one I got it in Noida. Is Amazon trying to sell defected products in the north-east or something? It takes longer than usual to reach Imphal even tho I have a prime membership, on top of that, you're selling us defected products. Shameful. Now I'll have to wait for 10-15 days for it to get replaced. With the lockdown and all, who knows how longer it'll take. Extremely disappointed."
169,Rajdeep,A very handy tool in a busy life.,5.0,"A must have product in your room. It does understand English and Hindi questions and queries better than 'Google Home' and also the sound quality is excellent when compared. Bluetooth feature comes very handy and notification light-blinking is also a great way. Better build quality than the previous generations. Featured skills are also available on the Alexa app including the Alexa-calling and broadcasting features. Mic is also very responsive too. Bass of the speaker is sufficient for a medium-sized room. Only issue is that with the manual buttons on the top which ""for my taste"" looks very ugly. Although if looks are not the priority then it is THE BEST buy in the smart-speaker segment today."
170,Amazon Customer,Good. No Battery power. No charm,3.0,Like.Product is good. Integration with Amazon music is good.DislikeNo battery back up. So it occupies the power point. Not portable as well. Major disadvantage for the price paid. The same size of branded wireless speakers are far cheaper.
171,Bhuwan Kapani,Alexa understanding capacity is reduced.,3.0,Alexa doesn't understand the commands properly.I ask to Play Sainyoo Nee it Plays Sainya Ve.I ask to Play. It plays some other languages radio station which we don't understand.It is not able to recognise the Wipro Bulb.I am fed up with Alexa. I want to return it back. If Possible.
172,Arunav Das,I didn't like the sound signature,3.0,"I didn't like the sound signature, I had to reduce the Bass to 0 and mid and treble to 10 to make it suit my ears. The Alexa app is very sluggish. It's very well built, can recognise voice from distance, options are less as compared to google assistant."
173,Muthuselvam Konar,Amazing Smart Speaker & Superb Audio Quality.,5.0,"Best Smart Speaker I have bought , Got it a very good price during Amazon Great Indian Festival, got it for around Rs 2200 along with Smart Led Buld.Pros :1. Very Good build quality.2. Superb Design3. Amazing Audio Quality4. Very good audio songs collection.5. Helps is various smart task like controlling smart lights at home.Cons :1. Not portable like a Bluetooth speaker as it requires power and internet.Overall I am very satisfied with this product. I can recommend this if you are someone looking for a smart speaker with good sound quality."
174,Amazon Customer,Good buy if price is around 2000,4.0,I bought this in offer in 2290. I liked the product as the speaker quality is good for a bedroom size. The voice recognition is good. Overall the Alexa works fine but of course there are flaws in understanding of instructions by Alexa because artificial intelligence is still just the tip of the iceberg. I don't think it would have been a good buy if bought above this price.
175,RAJAGOPAL,Good hardware but poor software,5.0,"Its one of the finest smart speaker in indian market nd amazon prime 999rs per year subscription gives more benefits with music, video,etc When it comes to hardware it hav good sound which fills one smal room. Echo support more smart accessories thn google home nd apple homepod thats big thumbs up for Echo👍🏼 When it comes to software its lacks so much features. Google home ll give you more accurate answers and follw up conservation. Alexa properly dnt deals with follow up multiple questions. Amazon music dnt have more collections lik spotify, wynk. So overall good hardware with poor software. Needs to improve more in software. You need to plug in al the time because it does not come with battery option."
176,Brijesh Maurya,"Dont expect it to do wonders, its needs a other 10 yrs of work",3.0,"Well, good for kids but for the most part AI needs huge amount of work, dont expect smartness like google, it more of bluetooth speaker and there are better options available in this price range. My daughter likes to play around with Alexa with all kinds of unusual questions. Decided to keep it"
177,Ramesh Adhavaraju,"Good product, value for money",5.0,"Product is good, after using for a month, felt bad, I should have gone to 4th generation, few features are missing in it, just a suggestion should have added micro sd features too, to listen for some downloaded songs also. All features are good and working well, HAPPY WITH THE PRODUCT."
178,Shaik shafi,Don't respond to commands even buttons not working,1.0,I bought it 2 days backI turn off charging during night when I plug again in morning it is taking time to connect and after some time it stops responding to commands and also it won't work with button also then I have to restart 2 times minimum
179,Nitin K,Good toy for kids,4.0,"All is good with this device, don't understand how tough it would have been to integrate a battery into it. Worse, the power adapter is not industry standard Micro-USB or Type C. Amazon's way of making people dependent on their proprietary power adapter, and eliminating chance of powering it with a power bank"
